instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.941391,3.9532254,3.9468663,3.932562,3.936186,3.9540424
2,4.4517474,4.511319,4.440671,4.4789453,4.384974,4.482005
4,4.791395,4.840187,4.699218,4.702349,4.576373,4.8602996
6,4.481027,4.5497036,4.4829826,4.753625,4.8908315,4.7817607
8,4.8468122,5.196081,4.9962797,5.062827,5.784819,5.807826
10,5.235267,5.083182,5.794311,4.6181226,4.929505,5.6284695
12,4.806288,5.9718795,4.7812967,4.3568773,4.7811685,5.9762535
14,4.388667,5.1078897,4.4793334,4.1875944,4.4256687,6.37758
16,4.339547,4.8317122,4.3513694,4.1638427,4.4079485,5.5675807
18,4.3513947,4.578512,4.3642893,4.1710477,4.418408,4.8769407
20,4.363253,4.5767403,4.3769054,4.180665,4.4296894,4.844936
22,4.3749466,4.5825753,4.3892155,4.1905956,4.440999,4.85034
24,4.385874,4.589984,4.4006786,4.199781,4.4516215,4.857847
26,4.396343,4.598206,4.410911,4.2087393,4.46158,4.865855
28,4.4063144,4.6064873,4.420996,4.2173166,4.4709024,4.8735423
30,4.416013,4.6144943,4.430301,4.2256765,4.479605,4.8816085
32,4.4252787,4.622341,4.4394207,4.233876,4.487648,4.8894715
34,4.4341774,4.629851,4.44788,4.241738,4.4950023,4.896671
36,4.442747,4.637031,4.4558983,4.249261,4.5022736,4.903341
38,4.4508796,4.6440015,4.46374,4.256591,4.509249,4.9100227
