instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.6669576,3.6669939,3.6652498,3.6700196,3.6680267,3.6660993
2,3.7732017,3.7587194,3.7710323,3.7692654,3.7637253,3.770489
4,3.5645173,3.5645916,3.5832884,3.5751972,3.569931,3.5792058
6,3.6246889,3.5826297,3.6719027,3.6374824,3.6179278,3.6502585
8,3.7197514,3.6725736,3.6708305,3.720635,3.6987412,3.7061136
10,3.5734591,3.6459413,3.5160887,3.5643516,3.5779855,3.565475
12,3.4247332,3.4572806,3.4254234,3.433339,3.422436,3.4285657
14,3.431878,3.4361012,3.429686,3.4395337,3.4305813,3.4353049
16,3.4385834,3.442985,3.436707,3.4455814,3.4366646,3.4421287
18,3.4450617,3.4503496,3.4446445,3.453203,3.4430697,3.448712
20,3.452393,3.4568698,3.4520733,3.4593627,3.449502,3.4553866
22,3.459531,3.4638848,3.4593604,3.466495,3.457121,3.4627035
24,3.4665937,3.471296,3.466381,3.4734836,3.4638698,3.4694188
26,3.4735692,3.477987,3.4728215,3.4807732,3.4707274,3.476821
28,3.4802961,3.4846144,3.4794784,3.4871001,3.4770677,3.4826772
30,3.4870183,3.4914095,3.4859781,3.4932535,3.4833815,3.4892104
32,3.4933946,3.4979289,3.4916677,3.4992516,3.4894872,3.4958558
34,3.4996076,3.5044944,3.4979615,3.5051913,3.4955025,3.5022125
36,3.5056002,3.5108309,3.5040407,3.5115469,3.5015354,3.5080566
38,3.5114143,3.5169404,3.509714,3.5173576,3.507556,3.5137362
