instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.6917698,3.6904368,3.6907747,3.691459,3.6912513,3.6887887
2,3.6566548,3.65102,3.6501548,3.6493874,3.6481886,3.648491
4,3.6474023,3.6471834,3.6494663,3.6471593,3.6508582,3.6400375
6,3.5154088,3.5140948,3.5141885,3.511994,3.5133927,3.5104105
8,3.4919446,3.489882,3.4887486,3.4882743,3.490125,3.4854147
10,3.4938664,3.4912977,3.489325,3.490131,3.4909248,3.4820006
12,3.4922795,3.492019,3.4889855,3.4896374,3.4896379,3.4828146
14,3.4789436,3.4792948,3.4766698,3.474452,3.4783175,3.4761896
16,3.4707518,3.4713914,3.469151,3.4677298,3.4704463,3.469067
18,3.4722505,3.4729366,3.4689844,3.4689748,3.4717305,3.4697003
20,3.4748933,3.4760854,3.4724565,3.471335,3.475108,3.4718788
22,3.478637,3.4797683,3.4763808,3.473687,3.478111,3.4750059
24,3.4819436,3.4836116,3.4807372,3.4767396,3.4820855,3.4787776
26,3.4854946,3.4869132,3.484321,3.4807456,3.4855485,3.4825919
28,3.489133,3.4911675,3.4885592,3.4849882,3.4897704,3.4863837
30,3.4937444,3.4954515,3.492496,3.4893503,3.4931715,3.4901211
32,3.497794,3.4999325,3.496521,3.4929998,3.4973035,3.494207
34,3.5021353,3.50407,3.5006244,3.497906,3.5010405,3.4983275
36,3.5060833,3.5083246,3.5050132,3.5013878,3.5049453,3.5029268
38,3.510508,3.5126154,3.5088344,3.505487,3.5096436,3.50704
