instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.67493,3.67933,3.6748238,3.674509,3.6714761,3.684212
2,3.7515645,3.7591376,3.7524536,3.7609787,3.7690532,3.7610252
4,3.6168456,3.6062434,3.612492,3.6032932,3.6153276,3.6078143
6,3.6882582,3.6562884,3.668609,3.6870658,3.6670575,3.6685088
8,3.6499252,3.648998,3.647973,3.6536438,3.6573334,3.6660717
10,3.5916562,3.6041539,3.61269,3.5900106,3.6235013,3.6382499
12,3.4543943,3.4612896,3.4535851,3.4551694,3.46133,3.458002
14,3.4697835,3.4677815,3.4645176,3.4666286,3.4669929,3.4694602
16,3.4792516,3.4765751,3.4751365,3.4748266,3.4767668,3.4783835
18,3.4877398,3.4856532,3.4845793,3.4850307,3.4871974,3.4880352
20,3.4967816,3.4949813,3.493507,3.494569,3.4972427,3.4975057
22,3.5052664,3.5041304,3.5022032,3.503763,3.5062597,3.506687
24,3.5139875,3.513205,3.5107746,3.5119727,3.5153403,3.515289
26,3.5220518,3.5216205,3.5190465,3.5207672,3.5240192,3.5242584
28,3.5298922,3.5296175,3.5270476,3.5284343,3.5315132,3.5317657
30,3.537619,3.5374858,3.5343602,3.536571,3.539159,3.5400937
32,3.544978,3.5446243,3.5409598,3.5442364,3.546469,3.5475867
34,3.5520074,3.551564,3.547601,3.5513928,3.55336,3.5547886
36,3.5591218,3.5585551,3.5545573,3.5579808,3.559804,3.5614407
38,3.5659754,3.565062,3.561283,3.5645669,3.5662677,3.5677373
