instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.9178846,3.9141667,3.9182913,3.9087245,3.9001932,3.9122336
2,4.346622,4.3879757,4.3582835,4.377252,4.3761373,4.466553
4,4.311093,4.3125496,4.398497,4.2334833,4.1686406,4.4560676
6,4.236344,4.1875587,4.2546144,4.2403316,4.2957306,4.243851
8,4.898872,4.7990265,5.2865205,5.0856895,5.1432085,4.753591
10,4.965374,4.699443,4.5866547,5.4996686,4.9861355,4.559968
12,4.210921,4.367902,4.198746,4.3547587,4.648652,4.785038
14,3.957566,4.0103083,3.9550765,4.030483,4.1437535,4.347986
16,3.975917,4.017597,3.9681451,4.054431,4.098529,3.9551978
18,3.9919693,4.029128,3.9893844,4.075966,4.11167,3.9700036
20,4.0064473,4.041444,4.007456,4.0954485,4.124472,3.9831963
22,4.01957,4.053534,4.0238905,4.1120872,4.137023,3.9951985
24,4.0316286,4.065137,4.038657,4.127049,4.149372,4.0058184
26,4.042955,4.0761294,4.0521674,4.1410437,4.161032,4.015755
28,4.0534797,4.0863214,4.0647225,4.1539235,4.171686,4.0251436
30,4.0629883,4.0962634,4.0765414,4.1657033,4.1822186,4.0341215
32,4.0721316,4.1058784,4.0878763,4.176839,4.191755,4.0424967
34,4.081222,4.114976,4.098595,4.1873775,4.200753,4.0505557
36,4.0895762,4.1238923,4.108534,4.197337,4.2094903,4.0579796
38,4.0975356,4.1323647,4.1179986,4.2067676,4.217653,4.0651665
