instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.667106,3.6678774,3.6673443,3.6664953,3.6669598,3.6649191
2,3.816775,3.811651,3.8124452,3.8120873,3.8087277,3.809041
4,3.5954695,3.590708,3.5936787,3.59219,3.5936522,3.5860426
6,3.6400137,3.6341305,3.6470482,3.637057,3.6327236,3.6393812
8,3.5744693,3.5734658,3.5697188,3.5748034,3.5666192,3.5816998
10,3.4627507,3.461508,3.4587336,3.4614196,3.4549975,3.466051
12,3.4427052,3.4405708,3.4419005,3.4383414,3.4337246,3.4412453
14,3.4484043,3.4454298,3.4462025,3.4431176,3.4406798,3.4463496
16,3.4526484,3.4502985,3.4497857,3.4480166,3.4449186,3.450421
18,3.4567373,3.455729,3.4552245,3.4514208,3.4491231,3.454582
20,3.4613128,3.4609923,3.4601824,3.4571147,3.4537416,3.4594898
22,3.4670293,3.4670107,3.4665124,3.4626663,3.4585433,3.4652393
24,3.4728835,3.4733279,3.472145,3.4688995,3.4651585,3.4694338
26,3.4791887,3.4793541,3.478538,3.4753008,3.4712875,3.4751968
28,3.485352,3.48516,3.4838722,3.480515,3.4775934,3.480376
30,3.490953,3.4908845,3.490268,3.486221,3.4831734,3.4859686
32,3.4967372,3.496394,3.496608,3.4913654,3.4885843,3.4913528
34,3.5020607,3.5019526,3.5024798,3.496848,3.4936078,3.49742
36,3.5072255,3.5072873,3.5078666,3.501744,3.4984138,3.5021193
38,3.5121357,3.5125816,3.5131288,3.5069141,3.503139,3.5071642
