instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.7389457,3.740914,3.738107,3.7369661,3.7418287,3.7467084
2,3.8972366,3.8900332,3.8878827,3.890553,3.8840532,3.9077866
4,3.8668308,3.8150184,3.8718843,3.8527353,3.8389282,3.8200665
6,3.9366136,3.95218,3.91406,3.9302065,3.934746,3.9395874
8,3.8873827,3.924355,3.908213,3.9681423,3.9839344,3.8743293
10,3.6787264,3.6698086,3.6373858,3.6970124,3.7167096,3.678781
12,3.5630507,3.5633745,3.5526006,3.5781565,3.5830157,3.5548549
14,3.5629113,3.5691175,3.5597372,3.5751088,3.5726728,3.5560844
16,3.5721748,3.5784044,3.5681188,3.582783,3.5805366,3.562627
18,3.5827253,3.5880167,3.5775836,3.5928104,3.590072,3.572391
20,3.5926752,3.5970314,3.5872905,3.6025465,3.5999353,3.5814123
22,3.602268,3.6055856,3.5973508,3.6123388,3.6091971,3.5905523
24,3.6115198,3.6141403,3.606608,3.6220815,3.6186638,3.599825
26,3.6201847,3.6225498,3.6150503,3.6315923,3.6272118,3.6093795
28,3.628529,3.630834,3.623471,3.6401894,3.6355283,3.618359
30,3.636392,3.6388469,3.631827,3.6482778,3.643797,3.6268222
32,3.64386,3.646822,3.6393588,3.656226,3.6520748,3.6348193
34,3.6511922,3.6544147,3.646747,3.6635516,3.6594138,3.642772
36,3.6581736,3.661828,3.6538858,3.6710851,3.6667917,3.6503043
38,3.665026,3.668867,3.6607993,3.67811,3.673813,3.6575212
