instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.8558137,3.8560164,3.8601015,3.8540819,3.8502333,3.84784
2,4.1802855,4.2085495,4.209515,4.180522,4.218366,4.225486
4,3.9659424,4.0411263,4.018916,3.9909084,4.0452867,3.9968252
6,4.093953,3.969519,3.9566412,4.079877,3.923536,3.959475
8,4.224291,4.4830093,4.4180627,4.5154366,4.4258986,4.5840187
10,4.3496304,4.273439,4.0815277,4.386682,4.244981,4.141389
12,4.012044,3.8237545,3.7618449,4.592842,4.019848,3.7205548
14,3.8602352,3.7846029,3.7382023,3.9125264,3.7971911,3.6980755
16,3.8717346,3.792997,3.7470107,3.9022317,3.7972796,3.7091572
18,3.8831997,3.8021426,3.756402,3.915736,3.8027947,3.721421
20,3.8944995,3.8112333,3.765791,3.9298487,3.8100233,3.7324657
22,3.9049819,3.8199887,3.7746472,3.9428792,3.817555,3.7427857
24,3.9147289,3.8287628,3.7835457,3.9541118,3.8255181,3.752416
26,3.9236152,3.8371446,3.7922788,3.9644175,3.8325043,3.7617755
28,3.9318657,3.8453808,3.8009293,3.9744017,3.83947,3.77028
30,3.9395733,3.8532274,3.809282,3.9833267,3.8460174,3.779246
32,3.9470222,3.8608823,3.817311,3.9917946,3.8527858,3.7869942
34,3.9540236,3.8682032,3.8251574,4.000013,3.8593674,3.7943153
36,3.9606545,3.8751905,3.8325799,4.0081115,3.865593,3.8015103
38,3.9671428,3.8818016,3.8395457,4.0153723,3.8716156,3.808551
