instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.8877268,3.8795512,3.8757203,3.9052813,3.8840275,3.8941715
2,4.2989373,4.2995315,4.3114614,4.365314,4.301604,4.3409266
4,3.9749656,4.00312,4.057028,4.1053686,3.9757178,4.0016723
6,4.4606276,4.4148917,4.6167083,4.4710274,4.508383,4.5011196
8,4.3531075,4.4461417,4.432041,4.5383525,4.4504776,4.3735847
10,4.232765,4.3382087,4.529377,4.477114,4.470581,4.258964
12,3.9995139,4.4857645,4.0797505,3.9921882,3.9904583,4.1275578
14,3.8895745,4.1116824,3.908761,3.8564258,3.9003162,3.9813714
16,3.8971694,4.0354795,3.9293058,3.8819947,3.9161816,3.989023
18,3.909752,4.039813,3.9485867,3.902115,3.930025,3.9987905
20,3.9214852,4.04779,3.9653685,3.9190238,3.9420204,4.0079527
22,3.932803,4.056734,3.981105,3.9342666,3.9537466,4.0170703
24,3.9433682,4.065832,3.9952185,3.9477108,3.9645677,4.025769
26,3.9533832,4.074648,4.008541,3.9600723,3.9745443,4.0338902
28,3.9625225,4.0830197,4.020324,3.971565,3.9839244,4.042204
30,3.9710777,4.0912075,4.0314054,3.9819508,3.9929621,4.0495496
32,3.9792283,4.098914,4.04166,3.9917386,4.001467,4.056697
34,3.9871633,4.106142,4.050818,4.0011387,4.009759,4.0634904
36,3.9946425,4.113084,4.059788,4.0099235,4.0171704,4.069992
38,4.001867,4.119554,4.068202,4.0182624,4.024459,4.0762787
