instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.780009,3.7837174,3.7784348,3.7768571,3.774884,3.7829013
2,3.9733114,3.9772642,3.9921982,3.9856012,3.9770086,3.993228
4,4.0445576,4.047516,4.0640235,4.064181,4.015617,4.066224
6,3.9450476,3.9340167,3.9221582,3.9109507,3.9475834,3.891049
8,3.9724636,3.9762878,3.9261622,3.9951756,4.0046477,3.9196525
10,3.9170702,3.9476886,3.7833178,3.8579545,3.930345,3.9176812
12,3.649212,3.8033938,3.5827663,3.7827652,3.7008023,3.6303148
14,3.600754,3.611894,3.5882418,3.6141474,3.6096284,3.5966837
16,3.609358,3.6100156,3.5999002,3.6114385,3.612213,3.6088881
18,3.6201046,3.6164277,3.6107543,3.617532,3.6192477,3.620587
20,3.6312535,3.6247623,3.62102,3.6263056,3.6277225,3.631947
22,3.6410677,3.6330523,3.630844,3.6350877,3.6364222,3.6427553
24,3.650579,3.6417534,3.6405356,3.6439548,3.645209,3.653206
26,3.6598096,3.6504052,3.6499627,3.6527808,3.653656,3.6638288
28,3.6686277,3.6588588,3.6589112,3.6613243,3.6627088,3.6729834
30,3.677254,3.6668916,3.6679335,3.6692905,3.6701427,3.6820924
32,3.6853428,3.6747499,3.676516,3.6773922,3.6778996,3.6907172
34,3.693147,3.6823618,3.6847224,3.685082,3.6855893,3.6987627
36,3.7007146,3.689555,3.6923964,3.6923976,3.6928873,3.7068152
38,3.708027,3.6963868,3.6995428,3.6996405,3.7000325,3.7140138
