instance,noise_0.01,noise_0.0175,noise_0.025,noise_0.0325,noise_0.04,noise_0.0475
0,3.737733,3.7378974,3.7377334,3.7379198,3.7380645,3.738014
2,3.6569183,3.6576488,3.6576955,3.6566224,3.6574945,3.6570327
4,3.6146908,3.614853,3.615159,3.6132104,3.61481,3.6145396
6,3.5834928,3.5828633,3.5837235,3.581889,3.582519,3.583612
8,3.5603797,3.559767,3.5593252,3.5590649,3.5583935,3.5589151
10,3.5451934,3.5450585,3.5438097,3.5426786,3.5425923,3.543335
12,3.533827,3.5336015,3.5321999,3.5310419,3.5320666,3.5316982
14,3.5246727,3.5240884,3.52316,3.5220542,3.5231514,3.5221028
16,3.5170355,3.516726,3.5148816,3.5134726,3.5142481,3.5145051
18,3.5102072,3.509542,3.5081856,3.5064359,3.50726,3.5073264
20,3.504861,3.504132,3.5033267,3.5008488,3.5014303,3.5004497
22,3.5010073,3.4996207,3.498963,3.4971156,3.4972618,3.4959908
24,3.4984608,3.497543,3.4966416,3.4947677,3.494695,3.4941094
26,3.4971905,3.496176,3.494891,3.4932973,3.493022,3.493777
28,3.4968438,3.495867,3.4944315,3.49273,3.4924226,3.492679
30,3.4967246,3.496109,3.4940004,3.4922028,3.492557,3.4920504
32,3.4968946,3.4964716,3.4945202,3.492362,3.4926748,3.492373
34,3.4971416,3.4969482,3.4948487,3.4924996,3.4932039,3.4924304
36,3.4978943,3.4977703,3.4957068,3.493115,3.4941995,3.492632
38,3.4988067,3.499114,3.496778,3.4938796,3.4947627,3.4942977
